tweet,label
@USER Jangan takut kompetisi jangan takut kompetisi. Berak. Sono ngomong ke temen lu Bahlil. SPBU luar sangat dibatesin geraknya buat usaha disini. Ngomong jg ke org dpr yg punya grup singa terbang yg memonopoli banyak rute lokal. Giliran dosen disuruh kompetisi. ,fear
BAHLIL ANJ,anger
@USER Ya ga paham adiknya Bahlil berarti,anger
Mau pake tumbler partai ada muka bahlil segede gaban dan kalaupun itu satu satunya yang gua punya akan tetap gua bawa apa urusannya sama pikiran orang bodo amat lah Pls stop mikirin perasaan orang lain itu hal utama drpd diri lo sendiri your life matters.,happy
@USER Buzernya bahlil itu kah bon?,happy
Warning lebih banyak dari hasil kerja Bahlil tapi masih dikira game yang aman buat bocil tolol https://t.co/diTB1jyNhs,happy
@USER adiknya bahlil berarti,happy
jelek bgt sinyal kek muka bahlil,happy
@USER Banyak2 dengerin kasir negara pur ngomong dah. Kalo belon puas dengerin Dadan. Masih kurang? Dengerin Bahlil. Dijamin . Anda akan merasa lebih waras dari mereka ,happy
@USER pak tedi mah baik cuma di bahlil itu yg harus dan harus dibuang nyusahin rakyat mulu,fear
@USER @USER Haha bener juga editannya kurang mirip ya? Maaf salah pasang muka. Ini Bahlil Lahadalia asli yang cerah banget kayak di GIF-mu! ,love
gamau di samain sm bahlil ,sadness
@USER @USER Sudah diedit jadi Bahlil Lahadalia ya! Cerah banget juga nih. https://t.co/TjO7zNFDap,fear
@USER Cari bahlil,happy
@USER de bahlil lelaw,happy
@USER Emang Bahlil udah ngelarang kangen sama temen ya? ,happy
side nya apa tuh? kalo bahlil saya gak mau.,anger
Pengen ganti nama jadi Dinda biar dipanggilin mulu sama Kanda (Bahlil).,sadness
BGN MBG PRABOWO GIBRAN BAHLIL DADAN DAN SPPG ADALAH WORD TRIGGER BAGI GW,anger
w kira bahlil anjing,anger
@USER Ponakannya bahlil begini nih.,happy
Pemerintah tetap menjaga stabilitas energi nasional. Menteri ESDM Bahlil Lahadalia menegaskan BBM subsidi tetap dilindungi untuk masyarakat #berita #bahlillahadalia #darirakyatuntukenergi #esdmfu https://t.co/PQ7m2q6H3X,happy
@USER 2 menteri terbodoh @USER 1. Bahlil 2. Purbaya Menteri Keuangan pelawak,happy
@USER @USER Ibu peri lebih baik balik ke khayangan lagi soalnya di bumi ada Bahlil. ,anger
Setelah liat pernyataannya Bahlil tentang baca buku gw udah gak heran kok kalo rezim ini bikin kebijakan kayak gini.,anger
@USER Saya lapor Anda ke Pak Bahlil ,anger
@USER @USER @USER @USER @USER @USER mahasiswa bahlil,love
@USER Astaghfirullah kak ini mah udh jelas2 bullying gaada merasa bersalahnya jg. Kalo mereka sindir2an lagi blgin gini selama ini berarti kalian tuh sadar dong kalo berisik dan ganggu kenyamaan orang? Kalo mau teriak2 mending ngekos di hutan aja dan semoga jodoh lu mirip bahlil ,anger
Damn. Selamat datang fasisme. Makin mengamplifikasi komentar Bahlil soal Udah bukan ilmu buku lagi dismissing ahli anti-intelektualisme,sadness
@USER usn @USER nyebut bahlil sekali kiamat maju satu abad,happy
@USER foto bahlil terima ga?,anger
Ada tulisan khusus yg isinya ilmu utk mendidik gak dibaca giliran fanfic malah disuruh jadi tulisan yg mendidik. Negara udh tebolak balik emang efek bahlil,anger
Iteman gw apa bahlil,anger
@USER @USER Wkwkwk.. gw aja gak ngerti cara nya.. Yg ptg puas aja Punya hobby bacotin Bahlil!! Duit Yahudi jd gak pentink ,anger
@USER Bahlil datang mau borong buat jumat berkah boleh gak min,happy
